Epoch 53 | Train Loss: 0.0055 | Train Accuracy: 87.45 | Test Loss: 0.1890 | Test Accuracy: 35.06
Epoch 54 | Train Loss: 0.0049 | Train Accuracy: 88.65 | Test Loss: 0.2121 | Test Accuracy: 39.67
Epoch 55 | Train Loss: 0.0045 | Train Accuracy: 89.53 | Test Loss: 0.1687 | Test Accuracy: 37.09
Epoch 56 | Train Loss: 0.0042 | Train Accuracy: 90.23 | Test Loss: 0.1835 | Test Accuracy: 40.0
Epoch 57 | Train Loss: 0.0039 | Train Accuracy: 90.82 | Test Loss: 0.1586 | Test Accuracy: 37.59
Epoch 58 | Train Loss: 0.0037 | Train Accuracy: 91.3 | Test Loss: 0.1555 | Test Accuracy: 43.65
Epoch 59 | Train Loss: 0.0035 | Train Accuracy: 91.74 | Test Loss: 0.1854 | Test Accuracy: 36.52
Epoch 60 | Train Loss: 0.0034 | Train Accuracy: 92.02 | Test Loss: 0.1189 | Test Accuracy: 44.18
Epoch 61 | Train Loss: 0.0032 | Train Accuracy: 92.63 | Test Loss: 0.1865 | Test Accuracy: 43.81
Epoch 62 | Train Loss: 0.0030 | Train Accuracy: 92.92 | Test Loss: 0.1465 | Test Accuracy: 44.34
Epoch 63 | Train Loss: 0.0029 | Train Accuracy: 93.22 | Test Loss: 0.1402 | Test Accuracy: 45.34
Epoch 64 | Train Loss: 0.0027 | Train Accuracy: 93.64 | Test Loss: 0.0910 | Test Accuracy: 49.13
Epoch 65 | Train Loss: 0.0026 | Train Accuracy: 93.84 | Test Loss: 0.1022 | Test Accuracy: 47.29
Epoch 66 | Train Loss: 0.0025 | Train Accuracy: 94.32 | Test Loss: 0.1414 | Test Accuracy: 44.27
Epoch 67 | Train Loss: 0.0024 | Train Accuracy: 94.5 | Test Loss: 0.0810 | Test Accuracy: 56.98
Epoch 68 | Train Loss: 0.0023 | Train Accuracy: 94.6 | Test Loss: 0.0763 | Test Accuracy: 55.09
Epoch 69 | Train Loss: 0.0021 | Train Accuracy: 94.98 | Test Loss: 0.1104 | Test Accuracy: 53.38
Epoch 70 | Train Loss: 0.0021 | Train Accuracy: 95.05 | Test Loss: 0.0693 | Test Accuracy: 60.16
Epoch 71 | Train Loss: 0.0020 | Train Accuracy: 95.33 | Test Loss: 0.0990 | Test Accuracy: 55.82
Epoch 72 | Train Loss: 0.0019 | Train Accuracy: 95.67 | Test Loss: 0.1056 | Test Accuracy: 56.28
Epoch 73 | Train Loss: 0.0018 | Train Accuracy: 95.84 | Test Loss: 0.0996 | Test Accuracy: 53.04
Epoch 74 | Train Loss: 0.0017 | Train Accuracy: 96.21 | Test Loss: 0.1165 | Test Accuracy: 51.29
Epoch 75 | Train Loss: 0.0016 | Train Accuracy: 96.41 | Test Loss: 0.1025 | Test Accuracy: 50.96
Epoch 76 | Train Loss: 0.0015 | Train Accuracy: 96.52 | Test Loss: 0.1188 | Test Accuracy: 55.17
Epoch 77 | Train Loss: 0.0015 | Train Accuracy: 96.62 | Test Loss: 0.1183 | Test Accuracy: 52.54
Epoch 78 | Train Loss: 0.0014 | Train Accuracy: 96.88 | Test Loss: 0.0853 | Test Accuracy: 56.4
Epoch 79 | Train Loss: 0.0013 | Train Accuracy: 97.05 | Test Loss: 0.1251 | Test Accuracy: 53.7
Epoch 80 | Train Loss: 0.0012 | Train Accuracy: 97.19 | Test Loss: 0.1115 | Test Accuracy: 51.5
Epoch 81 | Train Loss: 0.0012 | Train Accuracy: 97.34 | Test Loss: 0.0719 | Test Accuracy: 58.61
Epoch 82 | Train Loss: 0.0011 | Train Accuracy: 97.47 | Test Loss: 0.1221 | Test Accuracy: 52.13
Epoch 83 | Train Loss: 0.0011 | Train Accuracy: 97.54 | Test Loss: 0.1034 | Test Accuracy: 54.5
Epoch 84 | Train Loss: 0.0010 | Train Accuracy: 97.79 | Test Loss: 0.0693 | Test Accuracy: 59.37
Epoch 85 | Train Loss: 0.0010 | Train Accuracy: 97.61 | Test Loss: 0.0999 | Test Accuracy: 54.77
Epoch 86 | Train Loss: 0.0010 | Train Accuracy: 97.81 | Test Loss: 0.1483 | Test Accuracy: 52.11
Epoch 87 | Train Loss: 0.0009 | Train Accuracy: 97.9 | Test Loss: 0.0977 | Test Accuracy: 58.7
Epoch 88 | Train Loss: 0.0009 | Train Accuracy: 98.06 | Test Loss: 0.1086 | Test Accuracy: 55.05
Epoch 89 | Train Loss: 0.0009 | Train Accuracy: 97.95 | Test Loss: 0.1103 | Test Accuracy: 57.39
Epoch 90 | Train Loss: 0.0008 | Train Accuracy: 98.12 | Test Loss: 0.0788 | Test Accuracy: 59.44
Epoch 91 | Train Loss: 0.0008 | Train Accuracy: 98.26 | Test Loss: 0.1406 | Test Accuracy: 54.22
Epoch 92 | Train Loss: 0.0008 | Train Accuracy: 98.31 | Test Loss: 0.0717 | Test Accuracy: 62.34
Epoch 93 | Train Loss: 0.0008 | Train Accuracy: 98.32 | Test Loss: 0.1295 | Test Accuracy: 54.94
Epoch 94 | Train Loss: 0.0007 | Train Accuracy: 98.37 | Test Loss: 0.0869 | Test Accuracy: 59.44
Epoch 95 | Train Loss: 0.0007 | Train Accuracy: 98.48 | Test Loss: 0.1119 | Test Accuracy: 53.78
Epoch 96 | Train Loss: 0.0007 | Train Accuracy: 98.42 | Test Loss: 0.0793 | Test Accuracy: 61.93
Epoch 97 | Train Loss: 0.0006 | Train Accuracy: 98.62 | Test Loss: 0.0920 | Test Accuracy: 58.43
Epoch 98 | Train Loss: 0.0007 | Train Accuracy: 98.49 | Test Loss: 0.1013 | Test Accuracy: 58.51
Epoch 99 | Train Loss: 0.0007 | Train Accuracy: 98.55 | Test Loss: 0.1123 | Test Accuracy: 52.49
Epoch 100 | Train Loss: 0.0006 | Train Accuracy: 98.64 | Test Loss: 0.0925 | Test Accuracy: 58.67
