Epoch  1 | Train Loss: 0.0360 | Train Accuracy: 10.12 | Test Loss: 0.0359 | Test Accuracy: 9.86
Epoch  2 | Train Loss: 0.0360 | Train Accuracy: 10.16 | Test Loss: 0.0359 | Test Accuracy: 10.46
Epoch  3 | Train Loss: 0.0359 | Train Accuracy: 10.71 | Test Loss: 0.0359 | Test Accuracy: 10.54
Epoch  4 | Train Loss: 0.0359 | Train Accuracy: 11.12 | Test Loss: 0.0359 | Test Accuracy: 11.59
Epoch  5 | Train Loss: 0.0359 | Train Accuracy: 11.99 | Test Loss: 0.0358 | Test Accuracy: 13.9
Epoch  6 | Train Loss: 0.0359 | Train Accuracy: 13.16 | Test Loss: 0.0358 | Test Accuracy: 16.66
Epoch  7 | Train Loss: 0.0358 | Train Accuracy: 13.93 | Test Loss: 0.0357 | Test Accuracy: 14.76
Epoch  8 | Train Loss: 0.0356 | Train Accuracy: 13.24 | Test Loss: 0.0354 | Test Accuracy: 12.66
Epoch  9 | Train Loss: 0.0353 | Train Accuracy: 13.34 | Test Loss: 0.0350 | Test Accuracy: 15.42
Epoch 10 | Train Loss: 0.0349 | Train Accuracy: 17.0 | Test Loss: 0.0345 | Test Accuracy: 21.4
Epoch 11 | Train Loss: 0.0343 | Train Accuracy: 20.89 | Test Loss: 0.0337 | Test Accuracy: 23.18
Epoch 12 | Train Loss: 0.0335 | Train Accuracy: 22.94 | Test Loss: 0.0326 | Test Accuracy: 24.91
Epoch 13 | Train Loss: 0.0326 | Train Accuracy: 24.34 | Test Loss: 0.0318 | Test Accuracy: 25.92
Epoch 14 | Train Loss: 0.0320 | Train Accuracy: 25.45 | Test Loss: 0.0312 | Test Accuracy: 27.11
Epoch 15 | Train Loss: 0.0315 | Train Accuracy: 26.46 | Test Loss: 0.0308 | Test Accuracy: 28.07
Epoch 16 | Train Loss: 0.0312 | Train Accuracy: 27.13 | Test Loss: 0.0305 | Test Accuracy: 29.1
Epoch 17 | Train Loss: 0.0309 | Train Accuracy: 28.01 | Test Loss: 0.0302 | Test Accuracy: 29.69
Epoch 18 | Train Loss: 0.0306 | Train Accuracy: 28.75 | Test Loss: 0.0298 | Test Accuracy: 30.43
Epoch 19 | Train Loss: 0.0302 | Train Accuracy: 29.7 | Test Loss: 0.0294 | Test Accuracy: 31.59
Epoch 20 | Train Loss: 0.0298 | Train Accuracy: 30.33 | Test Loss: 0.0290 | Test Accuracy: 32.56
Epoch 21 | Train Loss: 0.0294 | Train Accuracy: 31.55 | Test Loss: 0.0286 | Test Accuracy: 33.67
Epoch 22 | Train Loss: 0.0290 | Train Accuracy: 32.65 | Test Loss: 0.0281 | Test Accuracy: 34.55
Epoch 23 | Train Loss: 0.0285 | Train Accuracy: 33.95 | Test Loss: 0.0276 | Test Accuracy: 36.06
Epoch 24 | Train Loss: 0.0279 | Train Accuracy: 35.49 | Test Loss: 0.0269 | Test Accuracy: 37.55
Epoch 25 | Train Loss: 0.0274 | Train Accuracy: 36.75 | Test Loss: 0.0264 | Test Accuracy: 39.16
Epoch 26 | Train Loss: 0.0268 | Train Accuracy: 38.02 | Test Loss: 0.0258 | Test Accuracy: 40.08
Epoch 27 | Train Loss: 0.0263 | Train Accuracy: 39.0 | Test Loss: 0.0254 | Test Accuracy: 40.8
Epoch 28 | Train Loss: 0.0259 | Train Accuracy: 39.99 | Test Loss: 0.0250 | Test Accuracy: 41.9
Epoch 29 | Train Loss: 0.0255 | Train Accuracy: 40.7 | Test Loss: 0.0245 | Test Accuracy: 42.48
Epoch 30 | Train Loss: 0.0251 | Train Accuracy: 41.49 | Test Loss: 0.0242 | Test Accuracy: 42.99
Epoch 31 | Train Loss: 0.0248 | Train Accuracy: 42.08 | Test Loss: 0.0240 | Test Accuracy: 43.31
Epoch 32 | Train Loss: 0.0245 | Train Accuracy: 42.8 | Test Loss: 0.0238 | Test Accuracy: 44.12
Epoch 33 | Train Loss: 0.0242 | Train Accuracy: 43.37 | Test Loss: 0.0235 | Test Accuracy: 45.09
Epoch 34 | Train Loss: 0.0240 | Train Accuracy: 44.11 | Test Loss: 0.0234 | Test Accuracy: 45.21
Epoch 35 | Train Loss: 0.0238 | Train Accuracy: 44.53 | Test Loss: 0.0232 | Test Accuracy: 45.79
Epoch 36 | Train Loss: 0.0236 | Train Accuracy: 45.38 | Test Loss: 0.0229 | Test Accuracy: 46.2
Epoch 37 | Train Loss: 0.0234 | Train Accuracy: 45.54 | Test Loss: 0.0227 | Test Accuracy: 46.98
Epoch 38 | Train Loss: 0.0232 | Train Accuracy: 46.2 | Test Loss: 0.0225 | Test Accuracy: 47.35
Epoch 39 | Train Loss: 0.0230 | Train Accuracy: 46.75 | Test Loss: 0.0226 | Test Accuracy: 47.51
Epoch 40 | Train Loss: 0.0228 | Train Accuracy: 47.18 | Test Loss: 0.0223 | Test Accuracy: 48.13
Epoch 41 | Train Loss: 0.0226 | Train Accuracy: 47.68 | Test Loss: 0.0220 | Test Accuracy: 49.05
Epoch 42 | Train Loss: 0.0224 | Train Accuracy: 48.34 | Test Loss: 0.0219 | Test Accuracy: 49.23
Epoch 43 | Train Loss: 0.0222 | Train Accuracy: 48.77 | Test Loss: 0.0215 | Test Accuracy: 50.15
Epoch 44 | Train Loss: 0.0220 | Train Accuracy: 49.24 | Test Loss: 0.0213 | Test Accuracy: 50.48
Epoch 45 | Train Loss: 0.0218 | Train Accuracy: 49.7 | Test Loss: 0.0215 | Test Accuracy: 50.4
Epoch 46 | Train Loss: 0.0217 | Train Accuracy: 50.06 | Test Loss: 0.0210 | Test Accuracy: 51.7
Epoch 47 | Train Loss: 0.0214 | Train Accuracy: 50.6 | Test Loss: 0.0210 | Test Accuracy: 51.52
Epoch 48 | Train Loss: 0.0213 | Train Accuracy: 51.1 | Test Loss: 0.0207 | Test Accuracy: 51.99
Epoch 49 | Train Loss: 0.0211 | Train Accuracy: 51.61 | Test Loss: 0.0205 | Test Accuracy: 52.34
Epoch 50 | Train Loss: 0.0209 | Train Accuracy: 52.18 | Test Loss: 0.0206 | Test Accuracy: 52.39
Epoch 51 | Train Loss: 0.0207 | Train Accuracy: 52.66 | Test Loss: 0.0202 | Test Accuracy: 53.6
Epoch 52 | Train Loss: 0.0205 | Train Accuracy: 53.12 | Test Loss: 0.0201 | Test Accuracy: 53.51
Epoch 53 | Train Loss: 0.0203 | Train Accuracy: 53.57 | Test Loss: 0.0199 | Test Accuracy: 53.98
Epoch 54 | Train Loss: 0.0202 | Train Accuracy: 53.98 | Test Loss: 0.0202 | Test Accuracy: 53.57
Epoch 55 | Train Loss: 0.0200 | Train Accuracy: 54.52 | Test Loss: 0.0197 | Test Accuracy: 54.91
Epoch 56 | Train Loss: 0.0198 | Train Accuracy: 54.81 | Test Loss: 0.0193 | Test Accuracy: 55.7
Epoch 57 | Train Loss: 0.0197 | Train Accuracy: 55.28 | Test Loss: 0.0192 | Test Accuracy: 55.95
Epoch 58 | Train Loss: 0.0195 | Train Accuracy: 55.7 | Test Loss: 0.0192 | Test Accuracy: 56.18
Epoch 59 | Train Loss: 0.0193 | Train Accuracy: 55.96 | Test Loss: 0.0189 | Test Accuracy: 56.81
Epoch 60 | Train Loss: 0.0192 | Train Accuracy: 56.43 | Test Loss: 0.0188 | Test Accuracy: 56.86
