Epoch 50 | Train Loss: 0.00039155 | Train Accuracy: 99.220000 | Test Loss: 0.00930204 | Test Accuracy: 89.450000
Epoch 51 | Train Loss: 0.00038491 | Train Accuracy: 99.220000 | Test Loss: 0.00923056 | Test Accuracy: 90.050000
Epoch 52 | Train Loss: 0.00039312 | Train Accuracy: 99.250000 | Test Loss: 0.00928769 | Test Accuracy: 90.140000
Epoch 53 | Train Loss: 0.00031493 | Train Accuracy: 99.410000 | Test Loss: 0.00933389 | Test Accuracy: 89.770000
Epoch 54 | Train Loss: 0.00029015 | Train Accuracy: 99.460000 | Test Loss: 0.00915490 | Test Accuracy: 90.370000
Epoch 55 | Train Loss: 0.00017567 | Train Accuracy: 99.700000 | Test Loss: 0.00999148 | Test Accuracy: 90.010000
Epoch 56 | Train Loss: 0.00015244 | Train Accuracy: 99.770000 | Test Loss: 0.00971707 | Test Accuracy: 90.460000
Epoch 57 | Train Loss: 0.00035685 | Train Accuracy: 99.360000 | Test Loss: 0.00949729 | Test Accuracy: 90.080000
Epoch 58 | Train Loss: 0.00022441 | Train Accuracy: 99.610000 | Test Loss: 0.00974405 | Test Accuracy: 90.240000
Epoch 59 | Train Loss: 0.00013595 | Train Accuracy: 99.780000 | Test Loss: 0.01059338 | Test Accuracy: 89.350000
Epoch 60 | Train Loss: 0.00022218 | Train Accuracy: 99.610000 | Test Loss: 0.01068338 | Test Accuracy: 89.450000
Epoch 61 | Train Loss: 0.00048175 | Train Accuracy: 99.070000 | Test Loss: 0.00942425 | Test Accuracy: 90.140000
Epoch 62 | Train Loss: 0.00020533 | Train Accuracy: 99.670000 | Test Loss: 0.01035929 | Test Accuracy: 89.930000
Epoch 63 | Train Loss: 0.00026865 | Train Accuracy: 99.530000 | Test Loss: 0.01014027 | Test Accuracy: 89.970000
Epoch 64 | Train Loss: 0.00018218 | Train Accuracy: 99.730000 | Test Loss: 0.01017939 | Test Accuracy: 90.190000
Epoch 65 | Train Loss: 0.00013047 | Train Accuracy: 99.830000 | Test Loss: 0.01026239 | Test Accuracy: 90.320000
Epoch 66 | Train Loss: 0.00008652 | Train Accuracy: 99.890000 | Test Loss: 0.01053227 | Test Accuracy: 90.450000
Epoch 67 | Train Loss: 0.00008293 | Train Accuracy: 99.860000 | Test Loss: 0.01054035 | Test Accuracy: 90.180000
Epoch 68 | Train Loss: 0.00010716 | Train Accuracy: 99.830000 | Test Loss: 0.01110192 | Test Accuracy: 90.080000
Epoch 69 | Train Loss: 0.00014841 | Train Accuracy: 99.760000 | Test Loss: 0.01023721 | Test Accuracy: 90.380000
Epoch 70 | Train Loss: 0.00012934 | Train Accuracy: 99.800000 | Test Loss: 0.01087938 | Test Accuracy: 90.250000
Epoch 71 | Train Loss: 0.00025820 | Train Accuracy: 99.550000 | Test Loss: 0.01222073 | Test Accuracy: 88.170000
