Epoch  1 | Train Loss: 0.03592740 | Train Accuracy: 12.650000 | Test Loss: 0.03565760 | Test Accuracy: 16.470000
Epoch  2 | Train Loss: 0.03193820 | Train Accuracy: 25.790000 | Test Loss: 0.02907924 | Test Accuracy: 32.320000
Epoch  3 | Train Loss: 0.02751189 | Train Accuracy: 36.030000 | Test Loss: 0.02609736 | Test Accuracy: 37.220000
Epoch  4 | Train Loss: 0.02517173 | Train Accuracy: 40.880000 | Test Loss: 0.02475123 | Test Accuracy: 40.500000
Epoch  5 | Train Loss: 0.02361519 | Train Accuracy: 44.980000 | Test Loss: 0.02359506 | Test Accuracy: 43.520000
Epoch  6 | Train Loss: 0.02219822 | Train Accuracy: 48.420000 | Test Loss: 0.02293383 | Test Accuracy: 45.910000
Epoch  7 | Train Loss: 0.02099226 | Train Accuracy: 51.810000 | Test Loss: 0.02114045 | Test Accuracy: 51.030000
Epoch  8 | Train Loss: 0.01993509 | Train Accuracy: 54.340000 | Test Loss: 0.02132461 | Test Accuracy: 51.260000
Epoch  9 | Train Loss: 0.01894170 | Train Accuracy: 56.950000 | Test Loss: 0.01975092 | Test Accuracy: 55.150000
Epoch 10 | Train Loss: 0.01803391 | Train Accuracy: 59.330000 | Test Loss: 0.01811695 | Test Accuracy: 59.200000
Epoch 11 | Train Loss: 0.01709287 | Train Accuracy: 61.430000 | Test Loss: 0.01773373 | Test Accuracy: 60.320000
Epoch 12 | Train Loss: 0.01621610 | Train Accuracy: 63.440000 | Test Loss: 0.01711985 | Test Accuracy: 61.860000
Epoch 13 | Train Loss: 0.01530953 | Train Accuracy: 65.730000 | Test Loss: 0.01615183 | Test Accuracy: 64.680000
Epoch 14 | Train Loss: 0.01448158 | Train Accuracy: 67.740000 | Test Loss: 0.01509527 | Test Accuracy: 66.960000
Epoch 15 | Train Loss: 0.01364885 | Train Accuracy: 69.610000 | Test Loss: 0.01440504 | Test Accuracy: 68.360000
Epoch 16 | Train Loss: 0.01283038 | Train Accuracy: 71.480000 | Test Loss: 0.01425558 | Test Accuracy: 68.350000
Epoch 17 | Train Loss: 0.01202351 | Train Accuracy: 73.150000 | Test Loss: 0.01356025 | Test Accuracy: 70.360000
Epoch 18 | Train Loss: 0.01119529 | Train Accuracy: 75.230000 | Test Loss: 0.01349335 | Test Accuracy: 70.540000
Epoch 19 | Train Loss: 0.01045963 | Train Accuracy: 76.820000 | Test Loss: 0.01319650 | Test Accuracy: 71.440000
Epoch 20 | Train Loss: 0.00966888 | Train Accuracy: 78.430000 | Test Loss: 0.01257809 | Test Accuracy: 73.020000
Epoch 21 | Train Loss: 0.00888940 | Train Accuracy: 80.200000 | Test Loss: 0.01217801 | Test Accuracy: 74.420000
Epoch 22 | Train Loss: 0.00811871 | Train Accuracy: 81.820000 | Test Loss: 0.01241271 | Test Accuracy: 73.890000
Epoch 23 | Train Loss: 0.00736018 | Train Accuracy: 83.370000 | Test Loss: 0.01257507 | Test Accuracy: 74.110000
Epoch 24 | Train Loss: 0.00673953 | Train Accuracy: 84.870000 | Test Loss: 0.01299187 | Test Accuracy: 74.180000
Epoch 25 | Train Loss: 0.00600060 | Train Accuracy: 86.580000 | Test Loss: 0.01315996 | Test Accuracy: 74.180000
Epoch 26 | Train Loss: 0.00530828 | Train Accuracy: 88.130000 | Test Loss: 0.01311958 | Test Accuracy: 74.960000
Epoch 27 | Train Loss: 0.00473898 | Train Accuracy: 89.370000 | Test Loss: 0.01384073 | Test Accuracy: 74.320000
Epoch 28 | Train Loss: 0.00423348 | Train Accuracy: 90.380000 | Test Loss: 0.01377554 | Test Accuracy: 75.420000
Epoch 29 | Train Loss: 0.00374932 | Train Accuracy: 91.590000 | Test Loss: 0.01415268 | Test Accuracy: 75.100000
Epoch 30 | Train Loss: 0.00323577 | Train Accuracy: 92.880000 | Test Loss: 0.01482030 | Test Accuracy: 75.160000
Epoch 31 | Train Loss: 0.00296246 | Train Accuracy: 93.280000 | Test Loss: 0.01541950 | Test Accuracy: 74.790000
Epoch 32 | Train Loss: 0.00257292 | Train Accuracy: 94.250000 | Test Loss: 0.01579603 | Test Accuracy: 75.290000
