Epoch  1 | Train Loss: 0.03544093 | Train Accuracy: 15.880000 | Test Loss: 0.03298016 | Test Accuracy: 23.130000
Epoch  2 | Train Loss: 0.02993888 | Train Accuracy: 30.500000 | Test Loss: 0.02844836 | Test Accuracy: 32.830000
Epoch  3 | Train Loss: 0.02597968 | Train Accuracy: 39.930000 | Test Loss: 0.02713765 | Test Accuracy: 35.780000
Epoch  4 | Train Loss: 0.02378902 | Train Accuracy: 45.020000 | Test Loss: 0.02656544 | Test Accuracy: 38.150000
Epoch  5 | Train Loss: 0.02228827 | Train Accuracy: 49.000000 | Test Loss: 0.02579520 | Test Accuracy: 41.200000
Epoch  6 | Train Loss: 0.02091820 | Train Accuracy: 52.250000 | Test Loss: 0.02502099 | Test Accuracy: 44.250000
Epoch  7 | Train Loss: 0.01961491 | Train Accuracy: 55.650000 | Test Loss: 0.02398731 | Test Accuracy: 46.700000
Epoch  8 | Train Loss: 0.01835701 | Train Accuracy: 58.690000 | Test Loss: 0.02290873 | Test Accuracy: 49.230000
Epoch  9 | Train Loss: 0.01712540 | Train Accuracy: 61.680000 | Test Loss: 0.02182160 | Test Accuracy: 52.020000
Epoch 10 | Train Loss: 0.01591380 | Train Accuracy: 64.600000 | Test Loss: 0.02050123 | Test Accuracy: 54.910000
Epoch 11 | Train Loss: 0.01471635 | Train Accuracy: 67.430000 | Test Loss: 0.01963431 | Test Accuracy: 57.060000
Epoch 12 | Train Loss: 0.01349620 | Train Accuracy: 70.320000 | Test Loss: 0.01899789 | Test Accuracy: 58.910000
Epoch 13 | Train Loss: 0.01221932 | Train Accuracy: 73.230000 | Test Loss: 0.01910190 | Test Accuracy: 59.570000
Epoch 14 | Train Loss: 0.01087881 | Train Accuracy: 76.360000 | Test Loss: 0.01925763 | Test Accuracy: 60.360000
Epoch 15 | Train Loss: 0.00943298 | Train Accuracy: 79.660000 | Test Loss: 0.01853240 | Test Accuracy: 63.220000
Epoch 16 | Train Loss: 0.00788383 | Train Accuracy: 83.300000 | Test Loss: 0.01850172 | Test Accuracy: 64.680000
Epoch 17 | Train Loss: 0.00637492 | Train Accuracy: 86.690000 | Test Loss: 0.01924700 | Test Accuracy: 65.580000
Epoch 18 | Train Loss: 0.00516466 | Train Accuracy: 89.150000 | Test Loss: 0.01910751 | Test Accuracy: 66.800000
Epoch 19 | Train Loss: 0.00422090 | Train Accuracy: 91.460000 | Test Loss: 0.02142531 | Test Accuracy: 66.660000
Epoch 20 | Train Loss: 0.00306807 | Train Accuracy: 93.740000 | Test Loss: 0.02087240 | Test Accuracy: 67.260000
Epoch 21 | Train Loss: 0.00233732 | Train Accuracy: 95.410000 | Test Loss: 0.02516870 | Test Accuracy: 65.720000
Epoch 22 | Train Loss: 0.00189952 | Train Accuracy: 96.690000 | Test Loss: 0.02412491 | Test Accuracy: 68.130000
Epoch 23 | Train Loss: 0.00158079 | Train Accuracy: 97.450000 | Test Loss: 0.02450973 | Test Accuracy: 68.140000
Epoch 24 | Train Loss: 0.00104008 | Train Accuracy: 98.110000 | Test Loss: 0.02532463 | Test Accuracy: 68.370000
Epoch 25 | Train Loss: 0.00080714 | Train Accuracy: 98.510000 | Test Loss: 0.02691831 | Test Accuracy: 67.900000
Epoch 26 | Train Loss: 0.00076858 | Train Accuracy: 98.610000 | Test Loss: 0.02779917 | Test Accuracy: 66.940000
Epoch 27 | Train Loss: 0.00060504 | Train Accuracy: 98.930000 | Test Loss: 0.02761955 | Test Accuracy: 67.960000
Epoch 28 | Train Loss: 0.00042799 | Train Accuracy: 99.320000 | Test Loss: 0.07244639 | Test Accuracy: 56.060000
Epoch 29 | Train Loss: 0.00553844 | Train Accuracy: 92.720000 | Test Loss: 0.02347274 | Test Accuracy: 68.160000
Epoch 30 | Train Loss: 0.00047666 | Train Accuracy: 99.410000 | Test Loss: 0.02666601 | Test Accuracy: 68.590000
Epoch 31 | Train Loss: 0.00024786 | Train Accuracy: 99.680000 | Test Loss: 0.02803393 | Test Accuracy: 69.320000
Epoch 32 | Train Loss: 0.00025472 | Train Accuracy: 99.630000 | Test Loss: 0.02842240 | Test Accuracy: 69.700000
Epoch 33 | Train Loss: 0.00017955 | Train Accuracy: 99.750000 | Test Loss: 0.02953050 | Test Accuracy: 69.520000
Epoch 34 | Train Loss: 0.00006829 | Train Accuracy: 99.940000 | Test Loss: 0.03043813 | Test Accuracy: 69.770000
Epoch 35 | Train Loss: 0.00002336 | Train Accuracy: 100.000000 | Test Loss: 0.03099247 | Test Accuracy: 70.350000
Epoch 36 | Train Loss: 0.00001047 | Train Accuracy: 100.000000 | Test Loss: 0.03185376 | Test Accuracy: 70.660000
Epoch 37 | Train Loss: 0.00000740 | Train Accuracy: 100.000000 | Test Loss: 0.03249949 | Test Accuracy: 70.630000
Epoch 38 | Train Loss: 0.00000598 | Train Accuracy: 100.000000 | Test Loss: 0.03302199 | Test Accuracy: 70.680000
Epoch 39 | Train Loss: 0.00000507 | Train Accuracy: 100.000000 | Test Loss: 0.03346530 | Test Accuracy: 70.710000
Epoch 40 | Train Loss: 0.00000441 | Train Accuracy: 100.000000 | Test Loss: 0.03385172 | Test Accuracy: 70.680000
Epoch 41 | Train Loss: 0.00000391 | Train Accuracy: 100.000000 | Test Loss: 0.03419777 | Test Accuracy: 70.710000
Epoch 42 | Train Loss: 0.00000351 | Train Accuracy: 100.000000 | Test Loss: 0.03451231 | Test Accuracy: 70.700000
Epoch 43 | Train Loss: 0.00000320 | Train Accuracy: 100.000000 | Test Loss: 0.03479967 | Test Accuracy: 70.710000
