Epoch  1 | Train Loss: 0.03567408 | Train Accuracy: 12.090000 | Test Loss: 0.03433422 | Test Accuracy: 19.390000
Epoch  2 | Train Loss: 0.03191756 | Train Accuracy: 25.780000 | Test Loss: 0.03026663 | Test Accuracy: 29.370000
Epoch  3 | Train Loss: 0.02860347 | Train Accuracy: 33.530000 | Test Loss: 0.02648531 | Test Accuracy: 37.300000
Epoch  4 | Train Loss: 0.02557816 | Train Accuracy: 40.190000 | Test Loss: 0.02591831 | Test Accuracy: 38.030000
Epoch  5 | Train Loss: 0.02392023 | Train Accuracy: 44.120000 | Test Loss: 0.02409039 | Test Accuracy: 42.660000
Epoch  6 | Train Loss: 0.02258495 | Train Accuracy: 47.570000 | Test Loss: 0.02274403 | Test Accuracy: 45.750000
Epoch  7 | Train Loss: 0.02129393 | Train Accuracy: 51.080000 | Test Loss: 0.02223695 | Test Accuracy: 48.260000
Epoch  8 | Train Loss: 0.02005482 | Train Accuracy: 53.930000 | Test Loss: 0.02133775 | Test Accuracy: 51.040000
Epoch  9 | Train Loss: 0.01895209 | Train Accuracy: 57.090000 | Test Loss: 0.02010192 | Test Accuracy: 54.510000
Epoch 10 | Train Loss: 0.01795102 | Train Accuracy: 59.350000 | Test Loss: 0.02000188 | Test Accuracy: 55.020000
Epoch 11 | Train Loss: 0.01699016 | Train Accuracy: 61.880000 | Test Loss: 0.01730661 | Test Accuracy: 61.440000
Epoch 12 | Train Loss: 0.01609778 | Train Accuracy: 64.010000 | Test Loss: 0.01724760 | Test Accuracy: 61.790000
Epoch 13 | Train Loss: 0.01523293 | Train Accuracy: 65.980000 | Test Loss: 0.01588932 | Test Accuracy: 64.590000
Epoch 14 | Train Loss: 0.01443854 | Train Accuracy: 67.730000 | Test Loss: 0.01594939 | Test Accuracy: 64.870000
Epoch 15 | Train Loss: 0.01364539 | Train Accuracy: 69.730000 | Test Loss: 0.01528844 | Test Accuracy: 66.720000
Epoch 16 | Train Loss: 0.01281356 | Train Accuracy: 71.630000 | Test Loss: 0.01562140 | Test Accuracy: 66.250000
Epoch 17 | Train Loss: 0.01210909 | Train Accuracy: 73.030000 | Test Loss: 0.01393665 | Test Accuracy: 69.580000
Epoch 18 | Train Loss: 0.01134016 | Train Accuracy: 74.730000 | Test Loss: 0.01328246 | Test Accuracy: 71.130000
Epoch 19 | Train Loss: 0.01050300 | Train Accuracy: 76.830000 | Test Loss: 0.01384129 | Test Accuracy: 70.540000
Epoch 20 | Train Loss: 0.00973574 | Train Accuracy: 78.440000 | Test Loss: 0.01353350 | Test Accuracy: 71.720000
Epoch 21 | Train Loss: 0.00894442 | Train Accuracy: 79.920000 | Test Loss: 0.01288898 | Test Accuracy: 72.900000
Epoch 22 | Train Loss: 0.00821402 | Train Accuracy: 81.620000 | Test Loss: 0.01382507 | Test Accuracy: 71.800000
Epoch 23 | Train Loss: 0.00748759 | Train Accuracy: 83.180000 | Test Loss: 0.01311634 | Test Accuracy: 73.370000
Epoch 24 | Train Loss: 0.00679459 | Train Accuracy: 84.650000 | Test Loss: 0.01357588 | Test Accuracy: 73.750000
Epoch 25 | Train Loss: 0.00607216 | Train Accuracy: 86.340000 | Test Loss: 0.01325984 | Test Accuracy: 74.950000
Epoch 26 | Train Loss: 0.00542674 | Train Accuracy: 87.740000 | Test Loss: 0.01339830 | Test Accuracy: 74.950000
Epoch 27 | Train Loss: 0.00474602 | Train Accuracy: 89.380000 | Test Loss: 0.01348813 | Test Accuracy: 75.340000
Epoch 28 | Train Loss: 0.00422911 | Train Accuracy: 90.310000 | Test Loss: 0.01384624 | Test Accuracy: 75.740000
Epoch 29 | Train Loss: 0.00382300 | Train Accuracy: 91.310000 | Test Loss: 0.01495799 | Test Accuracy: 74.760000
Epoch 30 | Train Loss: 0.00330171 | Train Accuracy: 92.630000 | Test Loss: 0.01643213 | Test Accuracy: 73.970000
Epoch 31 | Train Loss: 0.00293298 | Train Accuracy: 93.420000 | Test Loss: 0.01480220 | Test Accuracy: 76.010000
Epoch 32 | Train Loss: 0.00260912 | Train Accuracy: 94.130000 | Test Loss: 0.01583138 | Test Accuracy: 75.460000
