Epoch 50 | Train Loss: 0.00038272 | Train Accuracy: 99.250000 | Test Loss: 0.00871605 | Test Accuracy: 90.200000
Epoch 51 | Train Loss: 0.00034219 | Train Accuracy: 99.360000 | Test Loss: 0.00921499 | Test Accuracy: 89.220000
Epoch 52 | Train Loss: 0.00025679 | Train Accuracy: 99.590000 | Test Loss: 0.00931300 | Test Accuracy: 89.960000
Epoch 53 | Train Loss: 0.00022902 | Train Accuracy: 99.640000 | Test Loss: 0.00982623 | Test Accuracy: 89.810000
Epoch 54 | Train Loss: 0.00038145 | Train Accuracy: 99.320000 | Test Loss: 0.01022289 | Test Accuracy: 89.570000
Epoch 55 | Train Loss: 0.00025873 | Train Accuracy: 99.550000 | Test Loss: 0.00915526 | Test Accuracy: 90.020000
Epoch 56 | Train Loss: 0.00041710 | Train Accuracy: 99.360000 | Test Loss: 0.00832245 | Test Accuracy: 90.130000
Epoch 57 | Train Loss: 0.00027344 | Train Accuracy: 99.540000 | Test Loss: 0.00905193 | Test Accuracy: 89.950000
Epoch 58 | Train Loss: 0.00014710 | Train Accuracy: 99.800000 | Test Loss: 0.00954638 | Test Accuracy: 89.820000
Epoch 59 | Train Loss: 0.00022034 | Train Accuracy: 99.620000 | Test Loss: 0.00920564 | Test Accuracy: 90.010000
Epoch 60 | Train Loss: 0.00022030 | Train Accuracy: 99.610000 | Test Loss: 0.00957985 | Test Accuracy: 89.960000
Epoch 61 | Train Loss: 0.00013755 | Train Accuracy: 99.790000 | Test Loss: 0.00987386 | Test Accuracy: 90.120000
Epoch 62 | Train Loss: 0.00018179 | Train Accuracy: 99.690000 | Test Loss: 0.00987973 | Test Accuracy: 90.090000
Epoch 63 | Train Loss: 0.00017898 | Train Accuracy: 99.710000 | Test Loss: 0.01020263 | Test Accuracy: 89.660000
Epoch 64 | Train Loss: 0.00017817 | Train Accuracy: 99.690000 | Test Loss: 0.00941923 | Test Accuracy: 90.190000
Epoch 65 | Train Loss: 0.00016015 | Train Accuracy: 99.740000 | Test Loss: 0.01036837 | Test Accuracy: 89.420000
Epoch 66 | Train Loss: 0.00018017 | Train Accuracy: 99.690000 | Test Loss: 0.00991913 | Test Accuracy: 89.980000
Epoch 67 | Train Loss: 0.00019225 | Train Accuracy: 99.660000 | Test Loss: 0.00976464 | Test Accuracy: 90.030000
Epoch 68 | Train Loss: 0.00013066 | Train Accuracy: 99.800000 | Test Loss: 0.00996840 | Test Accuracy: 90.160000
Epoch 69 | Train Loss: 0.00018228 | Train Accuracy: 99.690000 | Test Loss: 0.00979336 | Test Accuracy: 90.090000
